title,link,score
If the moon were only 1 pixel: A tediously accurate solar system model (2014),https://joshworth.com/dev/pixelspace/pixelspace_solarsystem.html,712
I convinced HP's board to buy Palm and watched them kill it,https://philmckinney.substack.com/p/i-convinced-hps-board-to-buy-palm,485
Meta invests $14.3B in Scale AI to kick-start superintelligence lab,https://www.nytimes.com/2025/06/12/technology/meta-scale-ai.html,423
Ask HN: How do I give back to people helped me when I was young and had nothing?,item?id=44268448,321
OxCaml - a set of extensions to the OCaml programming language.,https://oxcaml.org/,271
"Apple's Liquid Glass is prep work for AR interfaces, not just a design refresh",https://omc345.substack.com/p/from-skeuomorphic-to-liquid-glass,196
Show HN: Tattoy – a text-based terminal compositor,https://tattoy.sh,162
The Tech Job Meltdown,https://www.professoraxelrod.com/p/the-tech-job-meltdown,119
Self-Adapting Language Models,https://arxiv.org/abs/2506.10943,119
100 years of Zermelo's axiom of choice: What was the problem with it? (2006),https://research.mietek.io/mi.MartinLof2006.html,102
Implementing Logic Programming,https://btmc.substack.com/p/implementing-logic-programming,101
The concurrency trap: How an atomic counter stalled a pipeline,https://www.conviva.com/platform/the-concurrency-trap-how-an-atomic-counter-stalled-a-pipeline/,93
"The Hat, the Spectre and SAT Solvers (2024)",https://www.nhatcher.com/post/on-hats-and-sats/,83
When random people give money to random other people (2017),https://quomodocumque.wordpress.com/2017/06/27/when-random-people-give-money-to-random-other-people/,79
Student discovers fungus predicted by Albert Hoffman,https://wvutoday.wvu.edu/stories/2025/06/02/wvu-student-makes-long-awaited-discovery-of-mystery-fungus-sought-by-lsd-s-inventor,73
Using computers more freely and safely (2023),https://akkartik.name/freewheeling/,73
Endometriosis is an incredibly interesting disease,https://www.owlposting.com/p/endometriosis-is-an-incredibly-interesting,60
High-speed fluorescence light field tomography of whole freely moving organisms,https://opg.optica.org/optica/fulltext.cfm?uri=optica-12-5-674&id=570897,38
Whatever Happened to Sandboxfs?,https://blogsystem5.substack.com/p/whatever-happened-to-sandboxfs,36
The International Standard for Identifying Postal Items,https://www.akpain.net/blog/s10-upu/,34
Anne Wojcicki to buy back 23andMe and its data for $305M,https://www.cnbc.com/2025/06/13/anne-wojcicki-to-buy-back-23andme-and-its-data-for-305-million.html,31
Filedb: Disk Based Key-Value Store Inspired by Bitcask,https://github.com/rajivharlalka/filedb,23
"AI Isn't Magic, It's Maths",https://zerofluff.substack.com/p/ai-isnt-magic-its-maths,19
EDAN: Towards Understanding Memory Parallelism and Latency Sensitivity in HPC [pdf],https://spcl.inf.ethz.ch/Publications/.pdf/shen-ics-2025-edan.pdf,19
Liquid Glass – WWDC25 [video],https://developer.apple.com/videos/play/wwdc2025/219,18
UK unis to cough up to £10M on Java to keep Oracle off their backs,https://www.theregister.com/2025/06/13/jisc_java_oracle/,15
Building a WordPress MCP Server for Claude: Automating Blog Posts with AI,https://val.demar.in/2025/06/building-a-wordpress-mcp-server-for-claude-automating-blog-posts-with-ai/,11
Rethinking Losses for Diffusion Bridge Samplers,https://arxiv.org/abs/2506.10982,5
"For All That Is Good About Humankind, Ban Smartphones",https://jacobin.com/2025/06/ban-smartphones-tech-society/,4
$100 Hamburger,https://en.wikipedia.org/wiki/$100_hamburger,4
